device_id,dia3,dia4,dia5,date
170,99,181,206,2023-10-03 00:00:00
170,42,87,97,2023-10-03 01:00:00
170,31,39,48,2023-10-03 02:00:00
170,15,31,55,2023-10-03 03:00:00
170,22,48,51,2023-10-03 04:00:00
170,75,105,95,2023-10-03 05:00:00
170,683,947,966,2023-10-03 06:00:00
170,2298,2842,2899,2023-10-03 07:00:00
170,2481,2704,2460,2023-10-03 08:00:00
170,2120,2346,1986,2023-10-03 09:00:00
170,1418,2042,1813,2023-10-03 10:00:00
170,1214,1830,1819,2023-10-03 11:00:00
170,1437,2109,2014,2023-10-03 12:00:00
170,1543,2506,2177,2023-10-03 13:00:00
170,1652,2312,1796,2023-10-03 14:00:00
171,208,2783,0,2023-10-03 00:00:00
171,44,1841,0,2023-10-03 01:00:00
171,19,1365,0,2023-10-03 02:00:00
171,16,1184,0,2023-10-03 03:00:00
171,14,918,0,2023-10-03 04:00:00
171,90,970,0,2023-10-03 05:00:00
171,663,3008,0,2023-10-03 06:00:00
171,4950,8104,0,2023-10-03 07:00:00
171,8921,9565,0,2023-10-03 08:00:00
171,9169,29874,0,2023-10-03 09:00:00
171,7277,1546,0,2023-10-03 10:00:00
171,5796,9093,0,2023-10-03 11:00:00
171,5806,8585,4179,2023-10-03 12:00:00
171,4726,10048,8589,2023-10-03 13:00:00
171,5527,9573,5308,2023-10-03 14:00:00
172,176,103,142,2023-10-03 00:00:00
172,74,79,95,2023-10-03 01:00:00
172,44,23,37,2023-10-03 02:00:00
172,39,13,48,2023-10-03 03:00:00
172,42,38,93,2023-10-03 04:00:00
172,258,137,112,2023-10-03 05:00:00
172,1551,807,482,2023-10-03 06:00:00
172,3250,1156,1091,2023-10-03 07:00:00
172,2840,1128,1088,2023-10-03 08:00:00
172,2865,987,1113,2023-10-03 09:00:00
172,2516,927,916,2023-10-03 10:00:00
172,2337,778,839,2023-10-03 11:00:00
172,2521,887,978,2023-10-03 12:00:00
172,2767,948,1053,2023-10-03 13:00:00
172,2583,898,1385,2023-10-03 14:00:00
175,77,16,21,2023-10-03 00:00:00
175,20,9,11,2023-10-03 01:00:00
175,27,2,3,2023-10-03 02:00:00
175,12,0,5,2023-10-03 03:00:00
175,7,5,3,2023-10-03 04:00:00
175,51,15,21,2023-10-03 05:00:00
175,151,35,150,2023-10-03 06:00:00
175,623,120,423,2023-10-03 07:00:00
175,732,175,339,2023-10-03 08:00:00
175,741,227,265,2023-10-03 09:00:00
175,786,193,292,2023-10-03 10:00:00
175,678,224,275,2023-10-03 11:00:00
175,710,216,304,2023-10-03 12:00:00
175,964,249,399,2023-10-03 13:00:00
175,726,235,345,2023-10-03 14:00:00
176,90,112,144,2023-10-03 00:00:00
176,31,27,36,2023-10-03 01:00:00
176,19,36,33,2023-10-03 02:00:00
176,14,3,17,2023-10-03 03:00:00
176,6,14,6,2023-10-03 04:00:00
176,37,39,55,2023-10-03 05:00:00
176,495,298,449,2023-10-03 06:00:00
176,2075,1353,1599,2023-10-03 07:00:00
176,2473,1652,1923,2023-10-03 08:00:00
176,2602,1735,1914,2023-10-03 09:00:00
176,2565,1727,2111,2023-10-03 10:00:00
176,2245,1973,1890,2023-10-03 11:00:00
176,2313,2082,2112,2023-10-03 12:00:00
176,2573,2403,2535,2023-10-03 13:00:00
176,2644,1880,2406,2023-10-03 14:00:00
